,Intercept,C(mvac)[T.True],C(csc)[T.True],C(mvac)[T.True]:C(csc)[T.True],collection_day,Intercept RE
y99,0.019121199998235444,0.07454673830217391,0.7778395614845313,0.42230261206401754,0.004148530885159812,0.9999891177226605
y100,5.338261097835669e-12,0.7200407432815632,0.5634303679712507,0.5301263575612214,0.3756502419226624,7.219225383960747e-05
y101,0.642887182363825,0.9007297775038957,0.13891159662581806,0.9127557154092277,0.00523546655511734,0.00017339280384812814
y102,1.2152602808912759e-15,0.7883443595744595,0.46418468248069866,0.9420375803925836,0.024263697070473603,0.999973971877906
y103,0.32570174918853845,0.5755869110973542,0.00034042613648901677,0.008638844160310778,2.851219995405872e-05,3.851468213677004e-05
y104,0.05549648443569898,0.11281839340715341,0.32756353523879855,0.06110923655598059,0.13492989753013862,0.999938675797872
y105,2.5073521974922605e-52,0.21737075446406895,0.19313216082442464,0.256352267187705,0.3985117001453965,0.0009282113883720747
y106,0.32185565275433026,0.2617874795573758,0.7114877798446186,0.8049916316170247,0.13601715672908868,0.9999877321024757
y107,0.007639222787682174,0.11924801319275603,0.5818687751775387,0.4574202796528697,0.3314817911801303,0.0003475776514845901
y108,0.8869203902748422,0.35444627195046585,0.8705678806765548,0.9716302312321321,0.4798156544710598,0.028255532683784695
y109,1.5242931764043302e-19,0.18235850972368184,0.002436352990580122,0.013786276904683372,0.6120915423018982,0.999983456101128
y110,7.063271103494173e-17,0.5924898140469711,0.02082398171626388,0.5479112454877995,4.387494126055768e-09,0.00015317618601963452
y111,0.23039684158968576,0.3787848990148345,0.5747863853780633,0.08380957479371905,0.002835034117109835,0.00010523585693547881
y112,0.26734133675420857,0.14092325699365904,0.863530827060057,0.09209740478414584,0.44885462460561265,0.3910799569326603
y113,0.002134020139126691,0.7085148139646655,0.9378990260483038,0.4162317288555213,7.429587322204518e-06,7.712363133839451e-05
y114,9.647594743141665e-05,0.3318506720523161,0.4806103380427592,0.7667442673184013,1.3459936472256482e-05,9.092715664478233e-05
y115,0.32224081574374674,0.6328698219431799,0.7785460786109997,0.49595018783986866,0.018488426786184814,0.00013221771098492253
y116,0.07286245839126616,0.07552363388505196,0.6711532626493835,0.20521621819492464,0.7637172311870912,0.9999973008728902
y117,0.27361091758960265,0.7882241355050061,0.9891160736365757,0.764350148597622,0.7095734045874457,0.0015325676930976302
y118,0.5473093764063623,0.16086070826012866,0.7936701084029482,0.1294882914797868,0.5786244936154825,0.026260782414043126
y119,2.5032688995494853e-06,0.7038705056382133,0.2133184749675584,0.5068301166558211,0.0011353032991082092,0.001709303938591841
y120,0.40058719168780066,0.8207112094658281,0.3120531055697442,0.5667623248934335,0.022888965349905938,8.435505376995649e-05
y121,2.3581261950136708e-29,0.38707373612734797,0.23395386838520527,0.7290201124965725,0.15136534186054554,7.144611323931688e-05
y122,0.0015966162356075967,0.6034650912796339,0.9853384910723657,0.3613466655719132,0.0011647039559372306,1.5465975748755725e-05
y123,0.41147459390674856,0.6857777644852169,0.508145045865131,0.6097047436583878,0.03211688604402944,0.9999753292102682
y124,0.3150031968509516,0.4426091815728601,0.2753073408707093,0.18998310139464802,8.396623904162731e-22,0.0018744991542549124
y125,3.8657916217419823e-10,0.20946164864268813,0.8000534429447469,0.2727596836260542,0.17049842172212992,0.9999888579582069
y126,4.813578224748269e-68,0.48056672570139813,0.5732211008888948,0.7690888365087795,0.5194072325807262,0.0012503011693196535
y127,0.46281806180287643,0.21972633117460927,0.09429673098256126,0.05622315393843948,0.14034023366450782,0.9999992296525121
y128,0.869590377243179,0.7482181451983816,0.04874081401830499,0.5266959465154641,0.0011400659470345471,5.627995302533565e-05
y129,2.4515190356951352e-06,0.1873663368590629,0.6771586051847237,0.23439335456216426,0.08270072662922211,0.0003885287295876645
y130,0.44845603103060105,0.1796328231679727,0.6313742787906219,0.08446783174936301,0.7071016645121921,0.9999189564214175
y131,1.744681983123606e-16,0.5557612306193727,0.8897570624284904,0.09231426098777004,0.001402560630268249,0.0019754995850293443
y132,1.197159795514611e-05,0.5256237216486213,0.5450684999784208,0.13474383378995006,0.004515585725628494,1.28899724844069e-05
y133,5.111274850233391e-08,0.9994691989045019,0.4418839998239342,0.7788106110260951,0.00028302250595203744,5.196517558884068e-05
y134,1.39283312822593e-14,0.7407653246263559,0.5376543959262562,0.7017149576320381,0.06355262525088913,0.0004327116777551688
y135,8.282015367773456e-21,0.1350687194779327,0.9179167390916773,0.29663856217785256,0.9775852454490424,0.00022796325240709428
y136,9.741387363154943e-18,0.7330386836018139,0.5571706180410756,0.5007707763293349,5.303762945478446e-08,5.095233859162291e-06
y137,3.281612656669587e-33,0.29379712647410616,0.29465499297824005,0.2517095108149261,4.037942579225827e-08,0.0008049561250523987
y138,0.2788760098672034,0.8523934812566742,0.9706297552503893,0.48453127424378717,0.8819467453761775,0.00046917519843528736
y139,0.8151646938744745,0.4365600913745591,0.03362194861797816,0.045756410959055464,0.6589296738888878,0.0005683727088148181
y140,0.8480927441030767,0.6996621578582383,0.27377677257633903,0.7141156710262218,0.5173808870029791,0.2498435452194695
y141,4.1993090251183436e-17,0.6817391702204172,0.05815985809373699,0.36651741901175916,0.00024427367572759344,1.9708563724746216e-05
y142,0.7176181857777051,0.38480399446043867,0.9146157970052025,0.17793354527880456,0.9845968650506315,5.129273871978372e-06
y143,2.743932543364631e-07,0.5673186540531268,0.7812035963309923,0.24710435071018366,0.5909781189817632,0.00038860822479890673
y144,0.061630379459004264,0.7945557545370987,0.7195883226897626,0.892527577978414,2.5543660805438623e-07,0.003901423323629839
y145,3.2029097947243436e-05,0.9261371498185399,0.5538365919212056,0.8149613368166719,6.233954275783288e-08,0.00026701528408977276
y146,6.072700707490088e-27,0.8590741182842969,0.32551684575609663,0.49457244823554747,1.2974126887995179e-23,0.08600100661443738
y147,0.29138860449573567,0.03618519833796157,0.07394108982529743,0.17341551399605426,0.002963991332681358,0.9999857205605799
y148,4.0686172047284836e-14,0.7241348756286115,0.33406927204901304,0.3529444328194187,1.260194387285061e-28,3.623258666991898e-05
y149,9.274138467010432e-10,0.30748301762375596,0.8371611130291712,0.6399248827130164,0.9046242055965608,3.457518302081203e-05
y150,7.429859374137068e-22,0.45608257592281765,0.4241737302506221,0.9275756313851505,0.0036632849894074667,0.0011273142219666516
y151,0.5301435780235959,0.15696437011897846,0.4004133721244141,0.21270186220591103,0.0005435103143710083,1.4421379034570228e-05
y152,0.8642434146261571,0.2073727670916784,0.18446419608543962,0.3594744822590339,0.27048887259998977,0.0007266919320792104
y153,0.8937001791560398,0.7022272332790129,0.04350907297289495,0.9665869909007381,1.0172647388373434e-10,0.00048082137538277975
y154,0.15689899374395783,0.18761574526472147,0.6789707504215416,0.249551579570091,0.00017228224830337404,5.012992181147706e-05
y155,0.7536790968905328,0.6703404007254503,0.5535434350570607,0.7248860564830625,0.6331330749677204,0.00010372008791177788
y156,0.2852034067381881,0.9877205481940456,0.6268005252135833,0.8103959971859418,0.7772258441448234,0.0010185426126185487
y157,2.0396305147450836e-47,0.8836029353566255,0.4188930201602977,0.2831401273351496,0.001378140532701794,1.5635958076383353e-05
y158,8.160889798963998e-08,0.005557838797477348,0.3439187778987607,0.09178922789001367,5.5109104627173015e-09,5.9885631585431226e-05
y159,5.709356065529643e-64,0.3042235055405017,0.6018486358646241,0.7653412590621698,2.838042110072548e-10,5.8984773473743485e-05
y160,1.3089187281951253e-42,0.41256419955894175,0.49111431237440006,0.5940395676060201,1.5673322427266942e-09,5.823012490178653e-05
y161,6.150251562164206e-05,0.7299824300536519,0.16275285804207362,0.5535774990388613,0.009951026999504795,4.7993148014203585e-06
y162,5.383566993697777e-09,0.02166255840354902,0.6908912264578977,0.20702852827910911,3.2874582505967e-07,0.00032656908351146567
y163,6.398049809590208e-17,0.059073816647821555,0.18464463619164817,0.40049345535822445,0.007967542808768468,6.86524653611259e-05
y164,0.36349417604824263,0.5374846254482842,0.669088336911779,0.6126153348593363,0.0663463444276953,0.995424062170707
y165,0.008875190694736782,0.9035743139666154,0.16383043776447204,0.6710756919595763,0.009425874857939014,0.00022726296678353758
y166,0.7632104200529126,0.8958223125143191,0.8905466362600575,0.427554384552122,0.5384624052610438,0.9999996524436277
y167,0.8172060817449011,0.6006383456464472,0.3244634750934059,0.483221670596933,0.10994449820737844,0.003341047556545022
y168,1.750322498627877e-52,0.15096721101377686,0.7645809907952759,0.11002936200647445,8.568879024173819e-05,5.90140025129518e-05
y169,2.5248124540194083e-27,0.91414953154241,0.40713562522562363,0.6746956323977364,0.02873394629021605,0.00401241742389955
y170,2.819335953268966e-33,0.20286562908620764,0.15752960071204303,0.4287814962309877,0.009294644953336706,0.000150157924148179
y171,5.975564644715849e-14,0.192768455365125,0.22370221538906543,0.45035928933679736,6.252390289814563e-12,0.99994502275654
y172,0.04418496869980664,0.49559045549742164,0.3691355813582309,0.29822222894007966,5.2682496156149106e-05,1.3595141108267152e-05
y173,0.27966763221199253,0.020156986993870706,0.027739271363253604,0.019660785719804754,6.414119773213704e-06,1.8610928452818621e-06
y174,0.003437289825588991,0.5195977670923063,0.651136104807335,0.8497424750158671,0.38162574526840065,5.4642793616050775e-05
y175,0.34264806242363366,0.43504123441691966,0.6557231527287735,0.312302535584147,0.10015473984307519,0.9999963742460639
y176,6.923092434022121e-06,0.41283329378188616,0.15660653602970692,0.8155800250835425,6.023571022003996e-33,3.001639933591349e-05
y177,7.536534339610817e-17,0.16273169702184576,0.5575836456390211,0.4410977872425238,0.32151834373801946,0.9999793879329177
y178,0.1715107087203095,0.20537425098556872,0.49014118529145745,0.30271090801930156,0.0007293846624843414,0.0003215643440090555
y179,0.03203022626389755,0.12376039095932967,0.32578977149408095,0.13165263924192985,0.002086873475592301,0.0008899226831187517
