1
1
1
	P_Value
y1240	0.182157213
y1241	0.314049447
y1242	0.179162612
y1243	0.735820198
y1244	0.43630833700000005
y1245	0.025358887000000004
y1246	0.181354039
y1247	0.112017853
y1248	0.47192658200000004
y1249	0.415503125
y1250	0.630035259
y1251	0.040639349
y1252	0.067185866
y1253	0.083325175
y1254	0.911062807
y1255	0.177800435
y1256	0.207259689
y1257	0.412231736
y1258	0.0036974779999999997
y1259	0.637862996
y1260	0.711560718
y1261	0.21431280600000002
y1262	0.251375966
y1263	0.667219957
y1264	0.709977357
y1265	0.391201349
y1266	0.137608909
y1267	0.008609189
y1268	0.657909897
y1269	0.17773223600000002
y1270	0.124217276
y1271	0.876890437
y1272	0.222209734
y1273	0.645071145
y1274	0.040146821
y1275	0.052515609000000005
y1276	0.007466355
y1277	0.080272139
y1278	0.160579644
y1279	0.573536999
y1280	0.151279268
y1281	0.063216758
y1282	0.8189862309999999
y1283	0.598134509
y1284	0.017280386000000002
y1285	0.053583806
y1286	0.168082003
y1287	0.20292989
y1288	0.829419441
y1289	0.112752505
y1290	0.10815417699999999
y1291	0.977474593
y1292	0.087879685
y1293	0.8794448109999999
y1294	0.5265770120000001
y1295	0.002596142
y1296	0.248180743
y1297	0.510171307
y1298	0.64604676
y1299	0.003291612
y1300	0.748651871
y1301	0.23322549
y1302	0.09381926199999999
y1303	0.040290316
y1304	0.22128684
y1305	0.0014382529999999998
y1306	0.17627706
y1307	0.536969169
y1308	0.087660078
y1309	0.225614877
y1310	0.7993284270000001
y1311	0.157772243
y1312	0.20665835
y1313	0.402276464
y1314	0.345726993
y1315	0.264833587
y1316	0.23160528600000002
y1317	0.00687696
y1318	0.05124065
y1319	0.465337405
y1320	0.505335809
y1321	0.26840520100000004
y1322	0.068870923
y1323	0.6085836960000001
y1324	0.191157196
y1325	0.013085177
y1326	0.277090968
y1327	0.178683464
y1328	0.030072004
y1329	0.592945253
y1330	0.44731829700000003
y1331	0.094555137
y1332	0.405971554
y1333	0.20809308199999998
y1334	0.085465118
y1335	0.298512916
y1336	0.792533652
y1337	2.4e-05
y1338	0.030643891
y1339	0.003906332
y1340	0.970358403
y1341	0.017741512
y1342	0.021984904
y1343	0.05034374900000001
y1344	0.161089082
y1345	0.375728026
y1346	0.020909663999999998
y1347	0.265035258
y1348	0.051770285
y1349	0.48332556299999996
y1350	0.02769718
y1351	0.318984466
y1352	0.361990989
y1353	0.47326058
y1354	0.420570956
y1355	0.021640415
y1356	0.050665514
y1357	0.064375714
y1358	0.459989065
y1359	0.6337124679999999
y1360	0.421649149
y1361	0.123705323
y1362	0.907850485
y1363	0.18369865100000002
y1364	0.150048102
y1365	0.386904815
y1366	0.482065366
y1367	0.459306834
y1368	0.399791976
y1369	0.682357859
y1370	0.9091053859999999
y1371	0.07694671
y1372	0.340093205
y1373	0.122051326
y1374	0.088924584
y1375	0.433549068
y1376	0.8727969859999999
y1377	0.570537747
y1378	0.0023897420000000003
y1379	0.023846968
y1380	0.244716551
y1381	0.9413580579999999
y1382	0.317018729
y1383	0.091111256
y1384	0.00350984
y1385	0.111348429
y1386	0.028578286
